Course,Site,Free?
System Design Overview,http://www.ev.org.br/Cursos/Paginas/Online.aspx,Yes
Teste e Resolução de Problemas,http://www.ev.org.br/Cursos/Paginas/Online.aspx,Yes
Web Design,http://www.ev.org.br/Cursos/Paginas/Online.aspx,Yes
Estratégia de Negócios,http://www.ev.org.br/Cursos/Paginas/Online.aspx,Yes
Fundamentos de COBIT,http://www.ev.org.br/Cursos/Paginas/Online.aspx,Yes
Fundamentos de Governança de TI,http://www.ev.org.br/Cursos/Paginas/Online.aspx,Yes
Gestão de Processos - Business Process Management (BPM),http://www.ev.org.br/Cursos/Paginas/Online.aspx,Yes
Gestão de Projetos 1 - Como trabalhar com projetos?,http://www.ev.org.br/Cursos/Paginas/Online.aspx,Yes
Gestão de Projetos 2 - Como iniciar o trabalho com projetos?,http://www.ev.org.br/Cursos/Paginas/Online.aspx,Yes
"Gestão de Projetos 3 - Como Planejar o Escopo, Prazo e Orçamento do Projeto?",http://www.ev.org.br/Cursos/Paginas/Online.aspx,Yes
Gestão de Projetos 4 - Como Planejar os demais aspectos do projeto?,http://www.ev.org.br/Cursos/Paginas/Online.aspx,Yes
"Gestão de Projetos 5 - Como Executar, Monitorar, Controlar e Encerrar Projetos?",http://www.ev.org.br/Cursos/Paginas/Online.aspx,Yes
Gestão Estratégica - Balanced Scorecard (BSC),http://www.ev.org.br/Cursos/Paginas/Online.aspx,Yes
Gestão Estratégica de TI - ITIL,http://www.ev.org.br/Cursos/Paginas/Online.aspx,Yes
Internet Explorer 8,http://www.ev.org.br/Cursos/Paginas/Online.aspx,Yes
Internet Explorer 9,http://www.ev.org.br/Cursos/Paginas/Online.aspx,Yes
